"ID","Last Name","First Name","Grade Level","Enrollment Year","Graduation Year","Courses as a List","Course Grades as a List","Future Decision","SAT","ACT","Counselor Name"
"100095","Kato","Andrew","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""PE Tennis""]","[84, 89, 87, 73, 92, 72]","2 year college","962","18","Michael Thompson"
"100096","Kumar","Raj","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Debate II"", ""Principles of Health Science"", ""PE Soccer-Girls""]","[73, 74, 77, 57, 61, 66, 56, 62]","workforce","992","18","Sarah Martinez"
"100097","Menon","Nisha","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Jazz Band II"", ""Oral Interpretation III"", ""PE Football-Boys""]","[69, 63, 82, 58, 66, 75, 80, 75]","4 year college","901","17","James Walker"
"100098","Rao","Aditya","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Sports & Entertainment Marketing I (sem)"", ""Theater Arts III"", ""Spanish III""]","[74, 80, 76, 84, 92, 76, 84, 82]","4 year college","966","","Priya Patel"
"100099","Kumar","Pooja","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""American Sign Language III""]","[79, 94, 85, 93, 89, 87]","4 year college","1186","","Daniel Kim"
"100100","Park","Hana","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Oral Interpretation I"", ""Engineering Design & Presentation I""]","[81, 83, 91, 89, 94, 92, 96]","4 year college","1433","31","Melissa Johnson"
"100101","Allen","Kenya","10","2025","2029","[""English II"", ""Algebraic Reasoning"", ""Chemistry"", ""World History-10th grade only"", ""Financial Mathematics (Math credit)"", ""Interpersonal Studies (sem .5 credit)"", ""Medical Terminology""]","[86, 74, 86, 85, 73, 89, 85]","2 year college","","18","Robert Nguyen"
"100102","Verma","Riya","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Statistics GT"", ""AP Biology GT"", ""AP US History GT-11th grade only"", ""Interior Design I"", ""AP Computer Science Principles (LOTE credit)"", ""Engineering Design & Presentation I"", ""Principles of Applied Engineering""]","[90, 96, 95, 91, 97, 97, 89, 100]","4 year college","","29","Emily Garcia"
"100103","Martin","Logan","12","2023","2027","[""AP English IV Literature & Composition"", ""Precalculus"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""French III KAP""]","[81, 89, 91, 87, 81, 75]","4 year college","","23","Michael Thompson"
"100104","Malik","Yasmin","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""AP Art History"", ""Dollars and Sense (sem .5 credit)"", ""Photojournalism (sem)""]","[81, 73, 75, 72, 81, 77, 79]","4 year college","1202","","Sarah Martinez"
"100105","Tanaka","Ying","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Chemistry"", ""AP US History-11th grade only"", ""Engineering Design & Presentation I"", ""Audio/Video Production II""]","[79, 84, 83, 82, 92, 88]","4 year college","1234","32","James Walker"
"100106","Karimi","Omar","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Business Law for Real Estate"", ""Photojournalism (sem)"", ""Technical Theater I""]","[82, 90, 82, 78, 94, 95, 86]","4 year college","1316","","Priya Patel"
"100107","Siddiqui","Zara","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""American Sign Language III"", ""AP Chinese IV Language and Culture"", ""Choir I""]","[86, 91, 91, 89, 87, 84, 79, 91]","4 year college","","","Daniel Kim"
"100108","Richardson","Sam","11","2024","2028","[""English III"", ""Algebra II"", ""Aquatic Science"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Debate III"", ""AP Art History"", ""Entrepreneurship""]","[85, 75, 92, 79, 81, 73, 82, 83]","2 year college","964","13","Melissa Johnson"
"100109","Gutierrez","Gabriela","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""Band IV"", ""Oral Interpretation III""]","[73, 64, 75, 73, 61, 66]","4 year college","874","","Robert Nguyen"
"100110","Brooks","Drew","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""AP Spanish IV Language and Culture"", ""Counseling & Mental Health"", ""Chinese I""]","[87, 76, 90, 92, 80, 86, 84, 86]","4 year college","","17","Emily Garcia"
"100111","Malik","Lina","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Counseling & Mental Health"", ""Ceramics I"", ""Chinese II"", ""AP Chinese IV Language and Culture""]","[80, 82, 81, 82, 89, 90, 76, 83]","4 year college","1269","25","Michael Thompson"
"100112","Torres","Sam","9","2026","2030","[""English I"", ""Algebraic Reasoning"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Orchestra I"", ""Health Science Theory""]","[64, 58, 76, 67, 64, 58, 67]","2 year college","966","","Sarah Martinez"
"100113","Verma","Divya","11","2024","2028","[""English III"", ""Algebra II"", ""Physics"", ""US History-11th grade"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Chinese III KAP"", ""Band I"", ""Counseling & Mental Health""]","[75, 85, 76, 87, 74, 73, 74, 75]","4 year college","","","James Walker"
"100114","Jung","Hana","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""AP Spanish IV Language and Culture"", ""PE Softball-Girls"", ""Spanish III""]","[75, 76, 75, 90, 84, 77, 82, 76]","4 year college","","19","Priya Patel"
"100115","Moore","Tre","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Sports & Entertainment Marketing II (sem)""]","[78, 84, 81, 92, 73, 79]","2 year college","977","","Daniel Kim"
"100116","Smith","Lucas","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Advanced Animal Science (Science credit)"", ""Social Media Marketing (sem)"", ""Computer Science I (LOTE credit)""]","[86, 70, 68, 76, 74, 69, 69, 80]","vocational school","1126","24","Melissa Johnson"
"100117","Lewis","Mason","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Biology"", ""AP US History-11th grade only"", ""Financial Mathematics (Math credit)"", ""Engineering Design & Presentation I""]","[80, 92, 80, 78, 85, 96]","4 year college","1128","","Robert Nguyen"
"100118","Mohammed","Zara","9","2026","2030","[""English I KAP/GT"", ""Geometry KAP/GT"", ""Biology KAP/GT"", ""AP Human Geography"", ""Health Education (sem)"", ""Debate III"", ""AP Research""]","[91, 95, 98, 100, 93, 100, 90]","4 year college","1414","34","Emily Garcia"
"100119","Watanabe","Andrew","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""Jazz Band IV"", ""Spanish I"", ""Band I""]","[79, 73, 87, 83, 84, 76, 77]","4 year college","938","18","Michael Thompson"
"100120","Flores","Alejandro","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""Band III"", ""AP Computer Science Principles (LOTE credit)""]","[91, 96, 92, 89, 88, 90]","4 year college","","36","Sarah Martinez"
"100121","Rao","Raj","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Spanish I""]","[85, 72, 79, 89, 83, 92]","2 year college","924","12","James Walker"
"100122","Choi","Yuki","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""AP Business with Personal Finance""]","[69, 75, 84, 81, 90, 72]","4 year college","913","20","Priya Patel"
"100123","Brooks","Hayden","11","2024","2028","[""AP English III Language and Composition GT"", ""AP Precalculus GT"", ""AP Biology GT"", ""AP US History GT-11th grade only"", ""AP Research"", ""Peer Assistance Leadership I (application required)"", ""AWS-Amazon Web Services Advanced Cloud Computing KAP""]","[90, 89, 99, 89, 83, 95, 87]","4 year college","","","Daniel Kim"
"100124","Suzuki","Yuki","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Chemistry KAP"", ""AP World History GT-10th grade only"", ""AP Research"", ""French II""]","[87, 96, 94, 90, 82, 95]","4 year college","1561","","Melissa Johnson"
"100125","Brooks","Taylor","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Medical Terminology"", ""Oral Interpretation II""]","[82, 58, 56, 58, 62, 76, 70]","4 year college","823","17","Robert Nguyen"
"100126","Chen","Yuna","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Aquatic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Art I"", ""Interpersonal Studies (sem .5 credit)""]","[77, 83, 78, 77, 80, 80, 86]","2 year college","937","15","Emily Garcia"
"100127","Ito","Brian","10","2025","2029","[""English II KAP/GT"", ""Algebra II KAP"", ""Biology KAP/GT"", ""AP World History GT-10th grade only"", ""Oral Interpretation I"", ""Journalism""]","[89, 87, 93, 85, 93, 94]","4 year college","","","Michael Thompson"
"100128","Johnson","Evelyn","12","2023","2027","[""English IV"", ""Statistics"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Spanish III KAP""]","[79, 79, 80, 89, 73, 73]","4 year college","1008","","Sarah Martinez"
"100129","Richardson","Logan","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Professional Communications (sem)"", ""Lifetime Fitness & Wellness Pursuits (Boys)"", ""Band IV""]","[79, 91, 79, 72, 88, 87, 72, 82]","2 year college","1023","23","James Walker"
"100130","Torres","Tyler","9","2026","2030","[""English I"", ""Algebra I"", ""Integrated Physics & Chemistry"", ""World Geography"", ""Health Education (sem)"", ""Debate I""]","[90, 75, 82, 81, 82, 76]","2 year college","1143","25","Priya Patel"
"100131","Chavez","Rafael","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Physics II"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Professional Communications (sem)"", ""Band I""]","[94, 82, 88, 95, 91, 89, 93]","4 year college","1185","19","Daniel Kim"
"100132","Farouk","Omar","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""Spanish II""]","[87, 93, 88, 89, 94, 85]","4 year college","1395","28","Melissa Johnson"
"100133","Taylor","Olivia","9","2026","2030","[""English I KAP"", ""Geometry KAP"", ""Biology KAP"", ""World Geography KAP"", ""Health Education (sem)"", ""AP Computer Science A (Math & LOTE credit)""]","[76, 79, 97, 93, 95, 87]","4 year college","","","Robert Nguyen"
"100134","Siddiqui","Ramy","10","2025","2029","[""English II KAP"", ""Algebra II KAP"", ""Chemistry KAP"", ""World History KAP-10th grade only"", ""Sports & Entertainment Marketing II (sem)"", ""AP Computer Science A (Math & LOTE credit)"", ""American Sign Language III""]","[76, 80, 94, 85, 88, 83, 84]","4 year college","1159","","Emily Garcia"
"100135","Park","Jia","11","2024","2028","[""AP English III Language and Composition"", ""AP Precalculus"", ""AP Chemistry"", ""AP US History-11th grade only"", ""SAT and ACT Prep (College Readiness) (sem)"", ""Debate II""]","[92, 85, 81, 84, 93, 95]","4 year college","1401","","Michael Thompson"
"100136","Yamamoto","Eric","12","2023","2027","[""English IV"", ""Statistics"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""PE Swimming""]","[74, 84, 73, 88, 90, 88]","4 year college","1266","27","Sarah Martinez"
"100137","Bennett","Sam","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Chinese II""]","[78, 86, 85, 83, 86, 94]","4 year college","1241","25","James Walker"
"100138","Scott","Elijah","12","2023","2027","[""AP English IV Literature & Composition GT"", ""AP Calculus BC/GT"", ""AP Physics C: Mechanics (Fall)"", ""AP US Government GT (sem)-12th grade only"", ""AP Macro Economics GT (sem)-11th and 12th only"", ""Spanish III KAP"", ""Photojournalism (sem)"", ""Leadworthy (sem)""]","[87, 86, 91, 90, 86, 86, 90, 97]","4 year college","1485","","Priya Patel"
"100139","Sharma","Divya","11","2024","2028","[""English III"", ""Statistics"", ""Physics"", ""US History-11th grade"", ""Human Growth & Development"", ""Principles of Agriculture, Food, and Natural Resources"", ""Business Law for Real Estate""]","[77, 82, 78, 76, 81, 87, 88]","vocational school","","21","Daniel Kim"
"100140","Murphy","Drew","12","2023","2027","[""English IV"", ""Financial Math-3rd math option"", ""Environmental Systems"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Lifetime Nutrition & Wellness (sem .5 credit)"", ""PE Volleyball-Girls""]","[88, 90, 72, 77, 78, 78, 73]","2 year college","","21","Melissa Johnson"
"100141","Bhatia","Arjun","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""PE Softball-Girls"", ""AP Chinese IV Language and Culture"", ""Sports & Entertainment Marketing II (sem)""]","[83, 83, 77, 80, 74, 81, 84]","vocational school","","19","Robert Nguyen"
"100142","Saleh","Rania","10","2025","2029","[""English II"", ""Geometry"", ""Biology"", ""World History-10th grade only"", ""Health Science Theory"", ""Foundations of Business Communication and Technologies""]","[79, 80, 91, 81, 92, 80]","4 year college","1112","25","Emily Garcia"
"100143","Watanabe","Yuki","12","2023","2027","[""AP English IV Literature & Composition"", ""AP Calculus AB"", ""AP Environmental Science"", ""AP US Government (sem)-12th grade only"", ""AP Macro Economics GT (sem)-12th grade only"", ""Debate III"", ""AP Business with Personal Finance"", ""Photojournalism (sem)""]","[96, 88, 88, 86, 86, 89, 77, 92]","4 year college","1113","22","Michael Thompson"
"100144","Tanaka","David","11","2024","2028","[""English III"", ""Algebra II"", ""Environmental Systems"", ""US History-11th grade"", ""PE Track-Girls"", ""AP Business with Personal Finance"", ""AP Spanish V Literature and Culture"", ""Photojournalism (sem)""]","[87, 76, 80, 89, 77, 81, 74, 79]","4 year college","1077","23","Sarah Martinez"
"100145","King","Simone","12","2023","2027","[""English IV"", ""Discrete Math for Problem Solving"", ""Forensic Science"", ""US Government (sem)-12th grade only"", ""Economics (sem)-12th grade only"", ""Principles of Business, Marketing, & Finance"", ""PE Basketball-Girls"", ""Interpersonal Studies (sem .5 credit)""]","[88, 81, 85, 73, 76, 76, 78, 82]","4 year college","1211","32","James Walker"
"100146","Brooks","Morgan","10","2025","2029","[""English II"", ""Geometry"", ""Chemistry"", ""World History-10th grade only"", ""PE Soccer-Girls"", ""AP Spanish V Literature and Culture""]","[90, 77, 87, 74, 76, 85]","4 year college","1126","25","Priya Patel"
"100147","Davis","Mason","11","2024","2028","[""English III"", ""Statistics"", ""Aquatic Science"", ""US History-11th grade"", ""Engineering Design & Problem Solving (Science credit)"", ""Entrepreneurship""]","[90, 79, 77, 72, 71, 80]","workforce","1026","","Daniel Kim"
